Holding Type,31-Dec-24,31-Mar-25,30-Jun-25,30-Sep-25,31-Dec-25,28-Feb-26
"Private Banks",9.37,12.24,14.37,12.99,15.03,16.16
"Specialized Finance",3.32,5.32,5.09,4.93,8.07,7.11
"Pharmaceuticals",7.34,7.11,5.11,5.92,5.54,6.45
"IT Services & Consulting",12.31,8.36,8.30,7.32,7.81,5.83
"Investment Banking & Brokerage",1.97,5.95,2.47,3.54,4.13,5.52
"Public Banks",1.94,2.26,2.45,2.80,2.74,3.88
"Others",5.95,2.99,4.80,3.23,4.59,3.78
"Auto Parts",3.52,3.01,2.81,3.43,3.52,3.59
"Electrical Components & Equipments",6.06,4.36,6.65,6.66,3.28,3.48
"Telecom Services",2.24,2.53,2.98,2.45,2.78,3.42
"Oil & Gas - Refining & Marketing",2.54,3.68,4.58,3.97,4.35,3.25
"Construction & Engineering",2.38,2.48,2.28,2.41,2.70,3.07
"Four Wheelers",1.42,0.90,1.06,3.25,3.27,2.91
"Labs & Life Sciences Services",2.07,3.05,3.07,3.50,2.61,2.75
"Industrial Machinery",2.72,2.39,3.04,2.34,2.66,2.72
"Power Generation",4.74,3.86,3.07,2.24,2.01,2.42
"Retail - Online",2.01,0.84,1.31,2.42,2.85,2.03
"Diversified Chemicals",1.22,2.27,2.43,1.92,1.87,2.03
"Home Electronics & Appliances",2.01,2.63,1.45,2.40,1.61,1.41
"Hotels, Resorts & Cruise Lines",1.87,2.37,2.00,1.91,1.53,1.37
"Real Estate",3.21,2.69,1.90,1.69,1.43,1.27
"Retail - Speciality",1.33,1.62,2.55,2.74,1.55,1.26
"Trucks & Buses",0.00,0.00,0.00,0.00,0.79,1.20
"Packaged Foods & Meats",1.66,2.26,2.04,1.65,1.20,1.15
"FMCG - Household Products",0.35,0.52,0.88,0.98,1.18,1.05
"Two Wheelers",0.78,0.59,0.61,1.13,0.98,1.03
"Plastic Products",0.60,0.27,0.39,0.37,0.29,0.89
"Asset Management",0.73,0.74,1.09,1.17,1.01,0.86
"Commodities Trading",0.82,1.12,1.05,1.11,0.83,0.73
"Insurance",1.21,0.75,0.54,0.50,0.71,0.68
"Miscellaneous",1.02,0.99,0.70,0.73,0.70,0.67
"Precious Metals, Jewellery & Watches",0.83,0.52,0.59,0.54,0.62,0.66
"Heavy Machinery",0.93,0.00,0.00,1.18,1.02,0.61
"Cables",1.04,0.47,0.55,0.59,0.56,0.61
"Metals - Diversified",0.39,0.36,0.32,0.36,0.57,0.59
"Fertilizers & Agro Chemicals",1.50,1.81,2.24,1.56,0.57,0.56
"Health Care Equipment & Supplies",0.36,0.43,0.38,0.43,0.77,0.56
"Paints",0.12,0.44,0.67,0.59,0.58,0.48
"Technology Hardware",1.13,0.96,0.00,0.00,0.00,0.45
"G-Sec",0.00,0.37,0.33,0.33,0.32,0.45
"Iron & Steel",0.00,0.00,0.00,0.34,0.34,0.41
"Airlines",1.29,1.27,1.32,1.03,0.42,0.40
"Tour & Travel Services",0.29,0.37,0.36,0.36,0.29,0.27
"Tea & Coffee",0.00,0.00,0.00,0.00,0.00,0.00
"TV Channels & Broadcasters",0.50,0.44,0.60,0.32,0.24,0.00
"Logistics",0.00,0.00,0.00,0.00,0.00,0.00
"Footwear",0.00,0.00,0.00,0.00,0.00,0.00
"Mining - Diversified",0.00,0.00,0.00,0.00,0.00,0.00
"FMCG - Tobacco",1.07,1.04,0.92,0.70,0.67,0.00
"Home Financing",0.00,0.00,0.00,0.00,0.00,0.00
"Alcoholic Beverages",0.84,0.57,0.28,0.00,0.00,0.00
"Textiles",0.00,0.00,0.00,0.00,0.00,0.00
"Sugar",0.00,0.00,0.00,0.00,0.00,0.00
"Consumer Finance",0.59,0.53,0.42,0.00,0.00,0.00
"Apparel & Accessories",0.00,0.00,0.00,0.00,0.00,0.00
"Telecom Equipments",0.39,0.29,0.00,0.00,0.00,0.00
"Oil & Gas - Exploration & Production",0.00,0.00,0.00,0.00,0.00,0.00
